Month,Length,Width,Height
Apr 2023,103.46,49.77,23.08
May 2023,97.12,47.58,21.88
Jun 2023,96.07,46.44,20.75
Jul 2023,91.34,43.55,19.93
Aug 2023,87.27,42.29,19.63
Sep 2023,83.79,38.73,17.79
Oct 2023,99.34,47.60,21.99
Nov 2023,94.86,46.22,20.16
Dec 2023,85.37,40.51,19.73
Jan 2024,84.31,39.73,18.51
Feb 2024,90.47,42.55,19.83
Mar 2024,91.82,43.65,19.98
