Month,i1,i2,i3,i4,i5,i6,i7,i8
Apr 2023,21,13,16,20,14,16,16,16
May 2023,15,12,13,16,13,14,13,14
Jun 2023,13,8,13,12,10,12,11,11
Jul 2023,8,11,12,9,10,12,10,9
Aug 2023,8,9,8,7,8,10,9,9
Sep 2023,9,7,8,9,8,7,8,7
Oct 2023,10,10,11,11,12,10,11,12
Nov 2023,15,12,13,14,12,13,14,14
Dec 2023,17,13,12,18,14,13,16,15
Jan 2024,14,12,15,14,14,13,14,14
Feb 2024,16,15,14,15,14,15,16,15
Mar 2024,17,13,18,16,14,17,17,16
